id,name,age,gender,alive
5145,Pablo,39,MALE,true
2235,Luis,69,MALE,true
9000,Juan,34,MALE,true
2399,Carolina,60,FEMALE,true
3950,David,55,MALE,true
6113,Elena,19,FEMALE,true
6456,Daniel,58,MALE,true
7669,Diego,72,MALE,true
4131,Nicolás,27,MALE,true
7005,Santiago,54,MALE,true
9870,Ana,18,FEMALE,true
4263,Diego,63,MALE,true
4340,Gabriel,75,MALE,true
2465,Ricardo,57,MALE,true
3244,Andrés,20,MALE,true
9191,Daniela,55,FEMALE,true
1741,Fernanda,60,FEMALE,true
7881,Diana,23,FEMALE,true
4973,María,72,FEMALE,true
2934,Diego,53,MALE,true
2398,Luisa,74,FEMALE,true
5668,Carlos,30,MALE,true
2410,Natalia,53,FEMALE,true
1892,Ana,63,FEMALE,true
9037,Laura,49,FEMALE,true
4046,David,22,MALE,true
3711,Diego,20,MALE,true
7299,Miguel,42,MALE,true
5530,Natalia,42,FEMALE,true
3397,Santiago,51,MALE,true
9358,Carlos,41,MALE,true
3786,Ricardo,34,MALE,true
7123,Paola,28,FEMALE,true
1711,Laura,54,FEMALE,true
1341,Andrea,75,FEMALE,true
4445,Carlos,26,MALE,true
9546,Mateo,21,MALE,true
1955,Julián,43,MALE,true
4784,Luisa,70,FEMALE,true
1637,Carlos,67,MALE,true
2251,Jimena,36,FEMALE,true
1668,Pablo,31,MALE,true
5228,Carolina,45,FEMALE,true
4003,Luis,52,MALE,true
1343,Pablo,48,MALE,true
7357,Ana,43,FEMALE,true
5031,Sofía,62,FEMALE,true
4709,Felipe,22,MALE,true
7652,Mateo,18,MALE,true
